topic_reduced_0,topic_reduced_1,topic_reduced_2,topic_reduced_3,topic_reduced_4,topic_reduced_5,topic_reduced_6,topic_reduced_7,topic_reduced_8,topic_reduced_9,topic_reduced_10,topic_reduced_11,topic_reduced_12,topic_reduced_13,topic_reduced_14,topic_reduced_15
payment,quantity,requirement,indenture,deliver,unite,stock,sec,opportunity,coverage,adjustment,remediation,supply,relation,temporarily,corporation
guarantee,raise,responsibility,certificate,inventory,conduct,outstanding,inherent,achieve,tailing,beyond,attack,reduce,disruption,skilled,item
payable,profitable,impose,class,reduce,movement,internal,stage,able,occur,end,dispute,increase,april,prolong,report
provide,capital,propose,option,low,locate,prevent,drill,person,fully,kinross,coeur,overall,violence,disruption,eliminate
liquidation,uranium,comply,debt,ton,indonesia,offer,quantity,difficulty,open,year,outcome,location,incident,cost,former
fund,mineralization,manner,raise,historically,government,exercise,guide,management,cause,inflation,party,epa,percent,input,publicly
post,strategic,costly,incorporation,volatility,activity,share,vary,individual,complex,estimate,practice,change,december,severe,form
rating,never,approval,director,volume,america,present,expenditure,develop,condition,recognize,information,expensive,yanacocha,curtail,uncertainty
reclamation,successful,violation,declare,source,emerge,premium,project,necessary,disruption,fair,license,supplier,peruvian,volume,common
institution,obtain,authorization,trade,electricity,exposure,delist,ever,identify,district,hedge,harm,legislative,mexican,energy,face
commitment,able,environment,liquidation,pressure,global,entity,ultimately,precious,road,revenue,liability,cost,export,area,annual
convertible,need,evolve,combination,fluctuate,concession,duty,base,president,cover,consumer,social,customer,productivity,production,apply
restriction,complete,body,transaction,industry,china,distribution,metal,operational,life,quarter,technology,availability,concession,interruption,rule
comply,precious,state,never,diesel,australian,holder,engineer,replacement,site,fiscal,hazardous,technology,district,tariff,file
satisfy,suitable,license,public,grow,attack,approval,positive,focus,investigation,expectation,law,reduction,social,construction,investment
million,lose,land,liquidity,shipment,canadian,registration,revenue,relatively,workforce,assumption,environmental,body,year,lack,detail
cash,necessary,water,investor,decrease,severe,unit,profitably,dependent,operation,china,action,global,worldwide,brazil,previously
