id,text,symbol,filing_time,is_action,topic_ids,is_active,label
631,"Time delays associated with obtaining entitlements, unforeseen development issues, unanticipated labor and material cost increases, higher carrying costs, and general market deterioration and other changes may negatively impact the profitability and capital needs of Tonogold.",lode,2020-03,False,"[1, 12]",True,0
632,We do not insure against all of the risks we face in our operations.,uec,2019-10,False,[9],True,1
633,"These types of initiatives may not sufficiently offset reductions in revenues, and the Company may continue to incur losses associated with sustained lower metals prices.",cde,2020-02,False,"[10, 12]",True,0
634,"If our assumptions do not materialize as expected, actual cash expenditures and costs that we incur could be materially different than currently estimated.",btu,2012-02,False,[7],True,0
635,Increases in these rates will increase our interest costs and reduce our profits and operating cash flows.,fcx,2010-02,False,[12],True,0
636,We may not be able to find qualified replacements for these key positions and the integration of replacements may be disruptive to our business.,cmp,2021-02,False,[8],True,0
637,"The total cash costs of production at any location are frequently subject to great variation from year to year as a result of a number of factors, such as the changing composition of ore grade or mineralized material production, and metallurgy and exploration activities in response to the physical shape and location of the ore body or deposit.",lode,2009-04,False,"[1, 7, 12, 14]",True,0
638,"When our securities are covered by the penny stock rules, additional sales practice requirements are imposed on broker-dealers that sell to persons other than established customers and accredited investors.",lode,2021-03,False,"[3, 4]",False,0
639,Our managing general partner may not be removed except upon the vote of the holders of at least 66.7% of our outstanding units.,arlp,2013-03,False,"[3, 6]",True,0
640,We also recover uranium from processing alternate feed materials at our White Mesa Mill.,uuuu,2019-03,False,"[1, 7]",True,1
641,"In addition, there may be intense competition for the acquisition of attractive mining properties.",nem,2011-02,True,[8],True,0
642,Significant competition exists to acquire properties producing or capable of producing copper and other metals.,scco,2009-03,True,"[7, 8, 10]",True,0
643,"Certain of our subsidiaries are responsible for medical and disability benefits for black lung disease under federal law and are insured beginning April 1, 2016 for claims made by or on behalf of any of our employees.",hcc,2018-02,False,"[11, 13]",True,1
644,A shortage of skilled labor may make it difficult for us to maintain labor productivity and competitive costs and could adversely affect our profitability.,arlp,2008-02,False,"[13, 14]",True,0
645,"As a result, you should not place undue reliance on the coal reserve data included herein.",arlp,2008-02,False,[7],True,0
646,"If these accruals are insufficient or our liability in a particular year is greater than currently anticipated, our future operating results could be adversely affected.",ceix,2019-02,False,[7],True,0
647,We may incur substantial debt in the future to enable us to maintain or increase our production levels and to otherwise pursue our business plan.,slca,2015-02,True,[12],True,0
648,"As well, if one or more contractors is unable to fulfill its obligations in preparing the study, this could delay completion of the study and we might have to replace the contractor which would also result in delays in completion of the study.",vgz,2008-03,False,"[1, 7]",True,0
649,There is a degree of uncertainty attributable to the calculation of mineral resources and corresponding grades.,lode,2016-01,False,"[7, 15]",True,0
650,A significant interruption in the supply or an increase in the price of any of these products or services could have a material adverse effect on our financial condition or results of operations.,cmp,2013-02,False,"[9, 12, 14]",True,0
651,We cannot provide assurances that the agreements governing our current and future indebtedness will permit us to pay dividends on our common stock.,cmp,2021-02,False,"[0, 3]",True,0
652,We rely on contractors to conduct a significant portion of our operations and construction projects.,mux,2020-03,False,[14],True,0
653,"These projects can take up to several months or years to complete, are complex and require significant capital expenditures.",cde,2021-02,False,"[1, 7]",True,0
654,Our estimates of undiscounted cash flows for each of our properties also include an estimation of the market value of the exploration potential beyond the current operating plans.,hl,2010-02,False,"[7, 10]",True,0
655,"If the material mined from our Rodeo project includes higher than expected contaminants, this would result in higher treatment expenses and penalty charges that could increase our costs and negatively impact our business, financial condition and results of operations.",aumn,2022-03,False,[9],True,0
656,"As a result of these strikes, we were forced to declare force majeure on certain of our June and July copper contracts.",scco,2008-02,False,[13],False,1
657,"In order to conduct our mining operations on properties where these defects exist, we may incur unanticipated costs.",arch,2018-02,False,[7],True,0
658,Certain federal and state health agencies also support lower lead cleanup levels.,fcx,2021-02,True,[2],True,0
659,Most regulatory programs are implemented by various divisions of SEMARNAT.,vgz,2012-03,False,[2],False,0
660,"There is no assurance that future changes in environmental regulation, if any, will not adversely affect our projects.",vgz,2007-03,False,"[2, 12]",True,0
661,"As of December 31, 2020, we leased a total of 44,645 acres from the federal government subject to those limitations.",btu,2021-02,False,[13],True,1
662,"The continued spread of coronavirus without any impact from effective vaccines or therapeutic treatments may cause further financial instability, and disruptions to our supply chain, which could increase supply costs or prevent us from procuring the supplies necessary to operate the Hycroft Mine.",hymc,2021-03,False,"[9, 12, 14]",True,0
663,"Our failure to comply with such standards, or changes in such standards or the interpretation or enforcement thereof, could have a material adverse effect on our business and financial condition or otherwise impose significant restrictions on our ability to conduct mineral extraction and processing operations.",slca,2013-02,False,[2],True,0
664,"As a result, several major banks have enacted such policies.",arlp,2019-02,True,[5],True,0
665,"Commodity costs are at times subject to volatile price movements, including increases that could make production at certain operations less profitable.",nem,2007-02,False,"[10, 12]",True,0
666,"Notwithstanding various actions by the U.S. and foreign governments, concerns about the general condition of the capital markets, financial instruments, banks, investment banks, insurers and other financial institutions caused the broader credit markets to further deteriorate and stock markets to decline substantially.",vgz,2010-03,False,[0],True,0
667,"Our inability to secure surface access or purchase required surface rights could materially and adversely affect our timing, cost or overall ability to develop any potential mineral deposits we may locate.",usau,2022-08,False,[1],True,0
668,Our ability to expand or replace ore reserves primarily depends on the success of our exploration program.,hl,2006-03,True,"[1, 7, 8]",True,0
669,Market prices for coal vary by mining region and country.,btu,2008-02,False,[7],True,0
670,"However, we may not be able to effectuate our initial business combination with more than one target business because of various factors, including the existence of complex accounting issues and the requirement that we prepare and file pro forma financial statements with the SEC that present operating results and the financial condition of several target businesses as if they had been operated on a combined basis.",hymc,2020-03,False,[8],False,0
671,"Substantial expenditures are required to: establish mineral reserves through drilling and metallurgical and other testing techniques; determine metal content and metallurgical recovery processes to process metal from the ore; determine the feasibility of mine development and production; and construct, renovate or expand mining and processing facilities.",aumn,2016-02,False,"[1, 7]",False,0
672,"We believe the data obtained from our own exploration activities or our partners' activities to be reliable; however the nature of exploration of mineral properties and analysis of geological information is subjective and data and conclusions are subject to uncertainty from invalid data as a result of many reasons, including sample contamination, analysis variation, extrapolation, undetected instrumentation malfunctions and the use of geologic and economic assumptions.",xpl,2012-03,False,[7],True,0
673,"In addition, uncertainty caused by federal and state regulations, including the Clean Air Act, could deter our customers from entering into long-term coal supply agreements.",arch,2009-02,False,"[2, 12]",True,0
674,"The December 1997 Kyoto Protocol, which has been extended to 2020, establishes a set of greenhouse gas emission targets for countries that have ratified the Protocol, which include Ghana, Australia and Peru.",rgld,2013-08,False,"[5, 12]",False,0
675,"Upon consummation of the transaction, we and all of our restricted subsidiaries must comply with various covenants contained in our credit agreement.",fcx,2007-02,False,[0],True,0
676,"If we fail to acquire or develop additional coal reserves, our existing reserves will eventually be depleted.",arch,2020-02,False,"[1, 7, 8]",True,0
677,None..,hnrg,2019-03,False,[0],True,0
678,"These other forms of assurance would be costly to provide and, depending on our financial condition and market conditions, may be difficult or impossible to obtain.",fcx,2014-02,False,[9],True,0
679,"Satisfying these liabilities may be very costly and could have a material adverse effect on our future cash flow, results of operations and financial condition.",aumn,2010-03,False,"[0, 9]",True,0
680,Certain federal income tax deductions currently available with respect to coal mining and production may be eliminated as a result of future legislation.,hnrg,2020-03,False,[15],True,0
681,"The public has the right to comment on permit applications and otherwise participate in the permitting process, including through court intervention.",arlp,2012-02,False,[2],True,0
682,"These and other similar unforeseen impacts that our operations may have on the environment, as well as exposures to hazardous substances or wastes associated with our operations, could result in costs and liabilities that could materially and adversely affect our business, financial condition and results of operations.",arch,2022-02,False,"[2, 9]",True,0
683,"Such an occurrence could adversely affect our business, future operations and financial condition.",xpl,2022-03,False,[9],True,0
684,Diminished access to water may adversely affect our operations.,slca,2019-02,False,[9],True,0
685,"Additional risks and uncertainties not currently known to us or that we currently deem to be immaterial may also materially and adversely affect our stock price, business, results of operations or financial condition.",slca,2020-02,False,"[9, 15]",True,0
686,Any failure to remedy an environmental problem could require it to suspend operations or enter into interim compliance measures pending completion of the required remedy.,cde,2016-02,False,"[2, 11]",True,0
687,"If these challenges are successful, we may have to purchase met coal from third-party sources, if available, to fulfill these obligations or incur capital expenditures to re-open the mines and/or negotiate settlements with the customers, which may include price reductions, the reduction of commitments, and the extension of time for delivery or terminate customers contracts.",hcc,2021-02,False,"[4, 12]",True,0
688,Decreases in demand for electricity and changes in coal consumption patterns of electric power generators could adversely affect our business.,ceix,2022-02,False,"[4, 12, 14]",True,0
689,Compliance with new governmental regulations could increase our operational costs.,cmp,2021-02,False,"[2, 12]",True,0
690,Our business depends on finding skilled miners and maintaining good relations with our employees.,hl,2017-02,True,"[8, 13]",True,0
691,"In addition, several of our customers rely on credit financing in order to purchase our products.",usau,2013-07,False,"[4, 14]",True,0
692,"In order to compete, we must attract, retain, and motivate executives and other key employees.",usau,2016-07,True,[8],True,1
693,"The truckload transportation industry periodically experiences a shortage of qualified drivers, particularly during periods of economic expansion, in which alternative employment opportunities are more plentiful and freight demand increases, or during periods of economic downturns, in which unemployment benefits might be extended and financing is limited for independent contractors who seek to purchase equipment or for students who seek financial aid for driving school.",slca,2019-02,False,"[4, 14]",False,0
694,We have entered into an agreement with the Northern Territory relating to environmental and rehabilitation issues.,vgz,2011-03,True,[3],True,1
695,"If the Company fails to accurately estimate the future results and value of an acquired or divested business or assets and the related risk associated with such a transaction, or are unable to successfully integrate the businesses or assets it acquires, its business, financial condition or results of operations could be negatively affected.",btu,2022-02,False,"[8, 10]",True,0
696,We may not be able to replace that experience and knowledge with other individuals.,xpl,2013-03,False,[8],True,0
697,"In addition, even if we do not need additional financing to complete our initial business combination, we may require such financing to fund the operations or growth of the target business.",hymc,2020-03,False,"[1, 8]",True,0
698,"Subsidiaries of our company currently operate 16 active tailings storage facilities (14 in the U.S. and 2 in Peru), of which 11 have an upstream design and 5 have a centerline design.",fcx,2022-02,False,[0],True,0
699,Additional regulations or requirements also are imposed on our tailings and waste disposal areas in Alaska under the federal Clean Water Act.,hl,2022-02,False,[2],True,0
700,The definition of change of control in the indenture governing the Senior Notes includes a phrase relating to the sale of all or substantially all of our assets.,hl,2021-02,False,[0],True,0
701,The nuclear incident that occurred in Japan in March 2011 had significant and adverse effects on both the nuclear and uranium industries.,uec,2020-10,False,[9],True,0
702,We may be prevented from receiving goods or services from contractors.,usau,2020-07,False,[6],False,0
703,"During the third quarter of 2019, the Kayenta Mine shipped its final tons.",btu,2020-02,False,"[4, 10]",True,0
704,We could also be held liable for worker exposure to hazardous substances.,hl,2015-02,False,[2],True,0
705,These regulations may require the acquisition of permits or other authorizations for certain activities.,uuuu,2019-03,False,[2],True,0
706,We cannot assure you that key personnel will continue to be employed by us or that we will be able to attract and retain qualified personnel in the future.,btu,2010-02,True,[8],True,0
707,"We could incur significant costs to remedy the effects of a major cybersecurity disruption in addition to costs in connection with resulting regulatory actions, litigation or reputational harm.",amr,2022-03,False,"[11, 14]",True,0
708,We may need to refinance all or a portion of our debt on or before maturity.,hl,2015-02,False,[0],True,0
709,Some of these derivative trading instruments require us to post margin based on the value of those instruments and other credit factors.,btu,2019-02,False,[0],True,1
710,"If we decide to construct the mine at Mt Todd, we will be assuming certain reclamation obligations resulting in a material financial obligation.",vgz,2017-02,False,[0],True,0
711,"As discussed in more detail in the next risk factor, we have substantial obligations for environmental remediation on mining properties previously owned or operated by Freeport Minerals Corporation (FMC) and certain of its affiliates.",fcx,2019-02,False,[15],True,0
712,"In addition, due to the radioactive nature of the materials handled in uranium extraction, mining, recovery, and processing, additional costs and risks are incurred by us on a regular and ongoing basis.",uuuu,2017-03,False,[1],True,0
713,There can be no assurance that we would be successful in overcoming these risks or any other problems encountered in connection with such acquisitions.,vgz,2012-03,True,[1],True,0
714,"The Mexican economy is highly sensitive to economic developments in the United States, mainly because of its high level of exports to this market.",scco,2016-02,True,[5],True,0
715,We face competition from other copper mining and producing companies around the world.,scco,2016-02,False,[5],True,0
716,Hecla Limited could also face additional penalties (including monetary penalties) from MSHA or other governmental agencies relating to these incidents and any other orders or citations received by Hecla Limited.,hl,2014-02,False,"[2, 11]",True,0
717,"Failure to meet these specifications can result in economic penalties, rejection or suspension of shipments or termination of the contracts.",arlp,2017-02,False,[4],True,0
718,"In November 2010, we commenced uranium extraction for the first time at the Palangana Mine utilizing ISR and processed those materials at the Hobson Processing Facility into drums of U3O8, our only sales product and source of revenue.",uec,2015-10,False,[4],True,1
719,Our obligations under our revolving credit facilities are (1) guaranteed by substantially all of our domestic subsidiaries and (2) secured by a pledge of (a) 100 percent of the equity in substantially all of our domestic subsidiaries and (b) 66.5 percent of the equity in substantially all of our first tier foreign subsidiaries.,fcx,2011-02,False,[0],True,0
720,"Operations may be affected in varying degrees by government regulations with respect to, but not limited to, restrictions on production, price controls, export controls, currency remittance, importation of parts and supplies, income and other taxes, expropriation of property, foreign investment, maintenance of claims, environmental legislation, land use, land claims of local people, water use and mine safety.",mux,2013-03,False,"[2, 5, 11]",False,0
721,"Across the globe, water is a shared and regulated resource.",aumn,2022-03,False,[2],True,0
722,This could result in delays in the commencement of potential mineral production and increased costs of production.,usau,2020-07,False,"[7, 12, 14]",True,0
723,"Net pension liabilities were $98.0 million as of December 31, 2017, of which none was classified a current liability.",btu,2018-02,False,[11],False,0
724,"If either we or our Minera Mexico subsidiary do not comply with these obligations, we could be in default under the applicable agreements which, if not addressed or waived, could require repayment of the indebtedness immediately.",scco,2018-03,False,[0],True,0
725,"Forward-looking statements are all statements other than statements of historical facts, such as projections or expectations relating to ore grades and milling rates; production and sales volumes; unit net cash costs; operating cash flows; capital expenditures; exploration efforts and results; development and production activities and costs; liquidity; tax rates; the impact of copper, gold and molybdenum price changes; the impact of deferred intercompany profits on earnings; reserve estimates; future dividend payments; and share purchases and sales.",fcx,2017-02,False,"[7, 10, 15]",True,0
726,"As a result, our results of operations, business and financial condition may be materially adversely affected.",ceix,2019-02,False,[9],True,0
727,"Total amounts subject to these types of obligations at December 31, 2009 were $140.2 million.",nc,2010-03,False,[0],True,0
728,"In addition to evolving and expanding environmental regulations providing governmental authorities with the means to make claims against us, private parties have in the past and may in the future bring claims against us based upon damage to property and injury to persons resulting from the environmental, health and safety impacts of prior and current operations (including for exposure to or contamination by lead).",hl,2017-02,False,"[2, 11]",True,0
729,Table of Contents,arch,2013-03,False,[0],True,0
730,"Our inability to collect payment from counterparties to our sales contracts may materially adversely affect our business, financial condition, results of operations and cash flows.",hcc,2022-02,False,"[0, 8, 9]",True,0
731,"Because our profits are primarily derived from our mining operations, our ability to replenish our mineral reserves is essential to our long-term success.",fcx,2022-02,True,[9],True,0
732,"Risks Related to Our Business Volatility in gold, silver, copper, nickel and other metal prices may have an adverse impact on the value of our royalty and stream interests and may reduce our revenues.",rgld,2015-08,False,"[4, 7, 10]",True,0
733,"We cannot predict the size of future issuances of our common stock or the effect, if any, that future sales and issuances of shares of our common stock would have on the market price of our common stock..",cmp,2011-02,False,"[3, 6]",True,0
734,These events are called force majeure events.,arlp,2008-02,False,[9],False,0
735,"Under CERCLA, or its various state analogues, one party may, under some circumstances, be required to bear more than its proportional share of cleanup costs at a site where it has liability if payments cannot be obtained from other responsible parties.",cmp,2010-02,False,[11],True,0
736,"If the market price of our common stock declines significantly, you may be unable to resell your shares of our common stock at or above the purchase price, if at all.",pll,2021-09,False,"[3, 4, 6]",True,0
737,"Upon the occurrence of certain kinds of change of control events specified in the indenture governing the Senior Notes, holders of the Senior Notes will have the right to require us to repurchase all of the Senior Notes at a repurchase price equal to 101% of their principal amount, plus accrued and unpaid interest, if any, to the date of repurchase.",hl,2014-02,False,"[0, 3]",True,0
738,"Two of our operating subsidiaries intervened in the suit to protect their interests in being allowed to operate under the issued permits, and one of them thereafter was dismissed.",arch,2014-02,False,[3],True,0
739,"Many of the factors affecting our operating results are beyond our control, including, but not limited to, the volatility of metals prices; smelter terms; rock and soil conditions; seismic events; availability of hydroelectric power; diesel fuel prices; interest rates; foreign exchange rates; global or regional political or economic policies; inflation; availability and cost of labor; economic developments and crises; governmental regulations; continuity of orebodies; ore grades; recoveries; price speculation by certain investors; and purchases and sales by central banks and other holders and producers of gold and silver in response to these factors.",hl,2017-02,False,"[4, 5, 10, 12]",True,0
740,"Future changes in environmental regulation, if any, may adversely affect our operations, make our operations prohibitively expensive, or prohibit them altogether.",mux,2013-03,False,"[9, 12]",True,0
741,We are not currently involved in mining development or operating activities at any of our properties.,xpl,2008-03,False,"[5, 7]",True,1
742,"Our policy is to seek to confirm the validity of our rights to, title to, or contract rights with respect to, each mineral property in which we have a material interest.",aumn,2013-03,False,[7],True,1
743,"Our policy when receiving credible information or allegations is to conduct internal investigations and compliance reviews to evaluate that information, determine compliance with applicable anti-bribery laws and regulations and company policies and take such remedial steps as may be warranted.",nem,2019-02,False,"[2, 5, 11]",True,1
744,"Development and operation of mines is very capital intensive and any inability of the operators of properties where we hold stream and royalty interests to meet liquidity needs, obtain financing or operate profitably could have material adverse effects on the value of and revenue from our stream and royalty interests.",rgld,2016-08,False,"[1, 7]",True,0
745,"We could be exposed to significant liability, reputational harm, loss of revenue, increased costs or other risks if we sustain cyber-attacks or other security breaches that disrupt our operations or result in the dissemination of proprietary or confidential information about us, our employees, our customers or other third-parties.",btu,2020-02,False,"[9, 11, 12]",False,0
746,"If the revised plan and reserve estimate results in material changes to our production and related cash flow from Gold Bar in 2020, we may be forced to curtail, defer or suspend operating expenditures and/or raise capital through outside financing such as additional debt or equity.",mux,2020-03,False,"[1, 3, 7]",False,0
747, WE FACE COMPETITION FROM DRAM MANUFACTURERS.,usau,2011-07,False,[4],True,0
748,"If the lenders under our senior secured credit facilities would require immediate repayment, we would not be able to repay them and also repay our other indebtedness in full.",cmp,2009-02,False,[0],True,0
749,"If our board of directors declines or is unable to declare dividends in the future or reduces the current dividend level, our stock price could fall, and the success of an investment in our common stock would depend largely upon any future stock price appreciation.",rgld,2015-08,False,"[3, 6]",True,0
750,"As such, our corporate policies and processes may not prevent or detect all potential breaches of law or other governance practices.",fcx,2019-02,False,"[6, 11]",True,0
751,"Our salt mines located in Cote Blanche, Louisiana, and Goderich, Ontario, Canada, constitute approximately 75% of our total salt production capacity.",cmp,2011-02,False,[14],True,0
752,"We have begun to incorporate these new requirements into our current permit applications; however, there can be no guarantee that we will be able to meet these or any other new standards with respect to our permit applications.",hcc,2020-02,True,[2],True,1
753,"Unless they are guarantors of the Senior Notes or our other indebtedness, our subsidiaries do not have any obligation to pay amounts due on the Senior Notes or our other indebtedness or to make funds available for that purpose.",hl,2020-02,False,[0],True,0
754,"If these customers are unable to repay the trade credit from us or financing from their financial institutions, the results of our operations could be adversely affected.",cmp,2019-03,False,[0],True,0
755,"We cannot assure you that we will be able to maintain our production levels to generate sufficient cash, or that we have access to sufficient financing to continue our exploration, exploitation and refining activities at or above present levels.",scco,2008-02,True,[1],True,0
756,"A decrease in coal consumption by the Companys customers could have a material adverse effect on the Companys business, financial condition and results of operations.",nc,2020-03,False,"[4, 9]",True,0
757,"On November 14, 2007 the Ninth Circuit granted a stay of the mandate pending further appeal to the Supreme Court, subject to the development of a reclamation plan for the lake area.",cde,2008-02,False,[11],True,0
